Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Draupadi,1931,124,Drama,5.3,6,Bhagwati Prasad Mishra,Khalil,Ermeline,Jillo
The Light of the World,1931,124,"Drama, Fantasy",6.2,112,Ardeshir Irani,Master Vithal,Zubeida,Jillo
Indrasabha,1932,211,"Musical, Romance",6,12,J.J. Madan,Nissar,Jehanara Kajjan,Abdul Rehman Kabuli
Fate,1933,68,"Drama, Romance",6.2,12,John Hunt,Devika Rani,Himanshu Rai,Abraham Sofaer
Mazdoor,1934,155,Drama,8.5,6,Mohan Dayaram Bhavnani,Bibbo,S.B. Nayampalli,Paidi Jairaj
Piya Pyare,1934,144,"Adventure, Fantasy",2.7,11,R.S. Choudhury,Ruby Mayer,Dinshaw Bilimoria,Jillo
Bhikharan,1935,143,Drama,6.2,9,Premankur Atorthy,Rattan Bai,Master Vinayak,I.A. Hafizji
Chandrasena,1935,136,Adventure,4.1,11,Shantaram Rajaram Vankudre,Nalini Tarkhad,Sureshbabu Mane,Rajani
Inquilab,1935,144,Drama,7.4,38,Debaki Bose,Durga Khote,Prithviraj Kapoor,Syed Mohammed
Miss Manorama,1935,90,Drama,6.3,9,Faredoon A. Irani,Aghajani,Jehanara Kajjan,Agha Jani Kashmiri
The Princess and the Hunter,1935,164,"Action, Adventure",4.5,22,Homi Wadia,Fearless Nadia,Sharifa,Gulshan
Achhut Kanya,1936,142,"Drama, Musical, Romance",6.5,114,Franz Osten,Devika Rani,Ashok Kumar,Monorama
Amar Jyoti,1936,166,Drama,6.1,17,Shantaram Rajaram Vankudre,Durga Khote,Shanta Apte,Vasanti
Devdas,1936,139,"Drama, Romance",6.2,91,P.C. Barua,K.L. Saigal,A.H. Shore,Pahadi Sanyal
Janmabhoomi,1936,139,Drama,5.9,9,Franz Osten,Devika Rani,Ashok Kumar,Pramila
Jeevan Naya,1936,140,Drama,7.3,6,Franz Osten,Devika Rani,Ashok Kumar,Kamta Prasad
Miss Frontier Mail,1936,161,Drama,6.1,17,Homi Wadia,Fearless Nadia,Sardar Mansur,Sayani Atish
Rajput Ramani,1936,138,Adventure,3.1,10,Keshavrao Dhaiber,Nalini Tarkhad,Nanasaheb Phatak,Shanta Apte
Bidyapati,1937,141,Drama,7,23,Debaki Bose,Pahadi Sanyal,Durgadas Bannerjee,Chhayadevi
Duniya Na Mane,1937,166,Drama,6.9,31,Shantaram Rajaram Vankudre,Shanta Apte,Keshavrao Date,Vimala Vasishta
Kisan Kanya,1937,137,Drama,6.3,12,Moti B. Gidwani,Padmadevi,Jillo,Ghulam Mohammed
Prem Kahani,1937,87,"Drama, Family, Romance",5.9,12,Franz Osten,Ashok Kumar,N.M. Joshi,Bilqis
Sant Tukaram,1937,131,Biography,6.7,229,Vishnupant Govind Damle,Sheikh Fattelal,Vishnupant Pagnis,Gauri
Toofani Tarzan,1937,112,Adventure,3.4,11,Homi Wadia,John Cawas,Gulshan,Boman Shroff
Baghban,1938,159,Drama,7.2,8,Abdul Rashid Kardar,Bimla Kumari,B. Nandrekar,Sitara Devi
Jiban Maran,1938,144,"Drama, Romance",5.2,6,Nitin Bose,K.L. Saigal,Leela Desai,Devbala
Nirmala,1938,128,Drama,5.5,14,Franz Osten,Devika Rani,Ashok Kumar,Maya Devi
Street Singer,1938,135,Drama,6.3,15,Phani Majumdar,K.L. Saigal,Kanan Devi,Boken Chatto
Teen Sau Din Ke Baad,1938,158,Adventure,6.4,10,Sarvottam Badami,Sabita Devi,Motilal,Bibbo
Leatherface,1939,166,"Action, Adventure",6.6,8,Vijay Bhatt,Paidi Jairaj,Miss Mehtab,Shirin Banu
Life's for Living: Aadmi,1939,164,"Drama, Romance",6.4,11,Shantaram Rajaram Vankudre,Shahu Modak,Shanta Hublikar,Sundarabai
Aurat,1940,154,Drama,7.2,30,Mehboob Khan,Surendra,Sardar Akhtar,Lala Yaqoob
Azad,1940,140,Drama,7.1,11,N.R. Acharya,Leela Chitnis,Ashok Kumar,Hansa Wadkar
Diamond Queen,1940,155,"Action, Adventure",6.1,31,Homi Wadia,Fearless Nadia,Radharani,Nazira
Doctor,1940,144,Drama,6.5,6,Phani Majumdar,Subodh Mitra,Pankaj Mullick,Ahindra Choudhury
Nartaki,1940,150,Drama,6.5,11,Debaki Bose,Leela Desai,Bhanu Bannerjee,Najmul Hussain
Sant Dnyaneshwar,1940,139,Fantasy,7.9,45,Vishnupant Govind Damle,Sheikh Fattelal,Shahu Modak,Datta Dharmadhikari
Sant Dnyaneshwar,1940,137,Biography,8.1,9,Vishnupant Govind Damle,Sheikh Fattelal,Shahu Modak,Datta Dharmadhikari
Zindagi,1940,120,Drama,7,12,P.C. Barua,K.L. Saigal,Pahadi Sanyal,Ashalata Wabgaonkar
Bahen,1941,156,Drama,6,10,Mehboob Khan,Sheikh Mukhtar,Nalini Jaywant,Harish
Jhoola,1941,177,Drama,6.3,13,Gyan Mukherjee,Leela Chitnis,Ashok Kumar,Shah Nawaz
Khazanchi,1941,171,Mystery,7,26,Moti B. Gidwani,M. Ismail,Ramola,Manorama
Padosi,1941,135,Drama,7.2,12,Shantaram Rajaram Vankudre,Mazhar Khan,Gajanan Jagirdar,Anees Khatoon
The Court Dancer: Raj Narkati,1941,144,Drama,6.4,19,Modhu Bose,Sadhona Bose,Protima Dasgupta,Binita Gupta
Basant,1942,146,"Drama, Musical",6.8,21,Amiya Chakrabarty,Mumtaz Shanti,Ulhas,Mumtaz Ali
Bharat Milap,1942,170,"Adventure, Drama, History",6.6,9,Vijay Bhatt,Prem Adib,K.B. Athavale,Umakant Desai
Jawab,1942,157,Drama,7.6,8,P.C. Barua,Ratin Banerjee,P.C. Barua,Ahindra Choudhury
Khandaan,1942,171,"Drama, Family",6.2,14,Shaukat Hussain Rizvi,Noor Jehan,Pran,Ghulam Mohammed
Meenakshi,1942,155,Drama,7.2,12,Modhu Bose,Sadhona Bose,Ahindra Choudhury,Rajlakshmi Devi
Roti,1942,153,Drama,6.3,30,Mehboob Khan,Chandra Mohan,Sheikh Mukhtar,Sitara Devi
Fate,1943,113,Drama,6.6,14,Mehboob Khan,Motilal,Nargis,Chandra Mohan
Kismet,1943,143,Drama,7.4,93,Gyan Mukherjee,Ashok Kumar,Mumtaz Shanti,Shah Nawaz
Najma,1943,121,Drama,7.5,30,Mehboob Khan,Ashok Kumar,Sitara,Veena
Prithvi Vallabh,1943,121,Drama,7.7,27,Sohrab Modi,Sadiq Ali,Durga Khote,Leela Mishra
Ram Rajya,1943,144,"Drama, Family, Fantasy",7.2,20,Vijay Bhatt,Prem Adib,Shobhna Samarth,Umakant
Sanjog,1943,122,"Comedy, Drama",6.9,13,Abdul Rashid Kardar,Noor Mohammad Charlie,Anwar Hussain,Mehtab
Tansen,1943,122,"Drama, Musical, Romance",7.5,26,Jayant Desai,K.L. Saigal,Khurshid Begum,Mubarak
Zamindar,1943,166,Mystery,3.3,6,Moti B. Gidwani,Shanta Apte,Manorama,Ghulam Mohammed
Hamrahi,1944,121,"Drama, Romance",6.7,10,Bimal Roy,Maya Basu,Radhamohan Bhattacharya,Tulsi Chakraborty
Jwar Bhata,1944,120,"Drama, Romance",7.6,34,Amiya Chakrabarty,Ruma Guha Thakurta,Aga Jaan,Vikram Kapoor
Ramshastri,1944,122,Drama,6.8,10,Vishram Bedekar,Gajanan Jagirdar,Raja Nene,Gajanan Jagirdar
Ratan,1944,118,"Musical, Romance",7.2,30,M. Sadiq,Swaran Lata,Karan Dewan,Amir Banu
Badi Maa,1945,122,"Drama, War",5.4,9,Master Vinayak,Sitara Devi,Girish,Ishwarlal
Humayun,1945,118,"Drama, History",7.5,46,Mehboob Khan,Ashok Kumar,Veena,Nargis
Phool,1945,122,Drama,6.5,8,K. Asif,Prithviraj Kapoor,Suraiya,Durga Khote
Anmol Ghadi,1946,122,"Drama, Musical, Romance",7.3,63,Mehboob Khan,Surendra,Suraiya,Noor Jehan
Eight Days,1946,141,"Comedy, Drama",6.5,8,D.N. Pai,Ashok Kumar,Ashok Kumar,Veera
Hum Ek Hain,1946,121,Drama,7.1,28,P.L. Santoshi,Durga Khote,Kamala Kotnis,Dev Anand
